Model,Model Details,Mean Acc,Std Acc,Mean F1,Std F1
Adaboost,AdaBoostClassifier(n_estimators=256),0.7040816326530612,0.0,0.5559680271981301,0.0
Adaboost,0.7040816326530612,0.0,0.5559680271981301,0.0,
MLP,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(64, 64, 64, 64))",0.7448979591836735,0.0,0.42690058479532167,0.0
MLP,0.7448979591836735,0.0,0.42690058479532167,0.0,
Naive Bayes,MultinomialNB(),0.6,0.0,0.5422830562757358,0.0
Naive Bayes,0.6,0.0,0.5422830562757358,0.0,
RF,"RandomForestClassifier(n_estimators=2048, n_jobs=8)",0.7346938775510204,0.0,0.5537840791280226,0.0
RF,0.7346938775510204,0.0,0.5537840791280226,0.0,
SVM,"SVC(C=25, max_iter=2000)",0.7204081632653061,0.0,0.580466342938923,0.0
SVM,0.7204081632653061,0.0,0.580466342938923,0.0,
